epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6299.37,1.22378,3.89786,1.36145,0.54223,0.16502,0.09479,0.0626,1.11949,3.84128,1.38107,0.00332833,0.00332833,0.00332833
2,18812,1.26375,2.95229,1.38581,0.41205,0.1592,0.09982,0.06334,1.28358,3.96498,1.51025,0.00659571,0.00659571,0.00659571
